"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"AccessPermitInner","ARSTOTZKA","ARSTOTZKA"
"AccessPermitInner","Access Permit","Povolení ke Vstupu"
"AccessPermitInner","This permit grants conditional access to the sovereign nation of Arstotzka","Toto povolení udeluje podmínený prístup k suverénnímu národu Arstotzky."
"AccessPermitInner","NAME","JMÉNO"
"AccessPermitInner","NATIONALITY","STÁT"
"AccessPermitInner","PURPOSE","ÚCEL"
"AccessPermitInner","HEIGHT","VÝSKA"
"AccessPermitInner","PHYSICAL APPEARANCE","FYZICKÝ VZHLED"
"AccessPermitInner","ID NUMBER","ID CÍSLO"
"AccessPermitInner","DURATION","DÉLKA POBYTU"
"AccessPermitInner","WEIGHT","VÁHA"
"AccessPermitInner","ENTER BY","PREDLOZIT DO"
"AccessPermitInner","Keep on person","Noste u sebe"
"AccessPermitInner","Ministry of Admission","Ministr Administrace"
"AsylumGrantInner","Arstotzka","Arstotzka"
"AsylumGrantInner","GRANT of ASYLUM","UDELENI AZYLU"
"AsylumGrantInner","This document grants conditional asylum status within Arstotzkan borders","Tento dokument poskytuje podmineny azyl na území Arstotzky."
"AsylumGrantInner","NAT","NAT"
"AsylumGrantInner","ID#","ID#"
"AsylumGrantInner","DOB","DOB"
"AsylumGrantInner","HT","HT"
"AsylumGrantInner","WT","WT"
"AsylumGrantInner","Offer expires after","Nabídka vyprsi :"
"AsylumGrantInner","Ministry of Admission","Ministr Prijetí"
"BizCardInnerFront","ENGINEERING","ENGINEERING"
"BizCardInnerFront","Director","Reditel"
"BizCardInnerBack","WE NEED ENGINEERS","SCHANIME TECHNIKY"
"BizCardInnerBack","WILL BEAT .GOV PAY","WILL BEAT .GOV PAY"
"BizCardInnerBack","CONTACT NOW","KONTAKTUJTE NAS HNED"
"BrothelHelpInner","A man named <span>Dari Ludum</span> promised me and my sister good work in Arstotzka.","<span>Dari Ludum</span> slibil mne a sestre dobrou praci v Arstotzka."
"BrothelHelpInner","I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today.","Neverim mu. Bojim se ze mi vezme muj pas a posle nas pracovat do nevestince. Je v dnesni rade, mozna ho potkate."
"BrothelHelpInner","Please do something.","Prosim udelejte s tím neco."
"BulletinInnerDiploTut","Diplomat","Diplomat"
"BulletinInnerDiploTut","Verification Procedure","Overovaci procedura"
"BulletinInnerDiploTut","Verify issuing country","Overte vydavajici zemi"
"BulletinInnerDiploTut","Verify identity","Overte identitu"
"BulletinInnerDiploTut","Verify diplomatic access to Arstotzka","Overte diplomaticky povoleni do Arstotzky"
"BulletinInnerMissingTut","Missing documents can be correlated by highlighting counter and pertinent entry in rule book.","Chybejici dokumenty muzete zazadat zviraznenim na vydejni stul."
"BulletinInnerRuleTut","Correlate pertinent entry in rule book with violating information to enable further options.","V souvislosti s prislusným záznamem v knize pravidel with violating information  informacemi pro výber dalsích mozností."
"BulletinInnerContraTut","Correlate discovered weapons and contraband with rulebook entry.","Nahlasit objevene zbrane a zakazane latky pomoci knizky s pravidly."
"BulletinInnerCorrelateTut","Highlight two pieces of discrepant information from INSPECT mode to enable interrogation.","Oznacte dva kusy s podezrelimi informacemi ke kontrole pomoci rezimu kontroly na vyslech"
"BulletinInnerPassportTut","Pay attention to passport nationality.","Venujte pozornost narodnosti"
"BulletinInnerBoothTut","Arstotzkan<br>Ministry of Admission","Arstotzkan<br>Ministr Prijetí"
"BulletinInnerBoothTut","Inspector's Booth","Inspektorova Kabina"
"BulletinInnerBoothTut","Shutter","Okenice"
"BulletinInnerBoothTut","Counter","Prepazka"
"BulletinInnerBoothTut","Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date","Pravidla<br>Vyslech<br>Ulozeni novin<br>Cas &amp; Datum"
"BulletinInnerGunTut","Weapons Protocol","Zbranovi Protokol"
"BulletinInnerGunTut","WHEN ALARM SOUNDS","KDYZ ZAZNI ALARM"
"BulletinInnerGunTut","Drop key on tumbler to unlock weapon.","Vlozte klic do zamku pro odemknuti zbrani."
"BulletinInnerGunTut","Select gun, aim and fire.","Vyberte zbran, namirte a vystrelte."
"BulletinInnerGunTut","Time is short. Act fast.","Máte málo casu. Jednejte rychle."
"BulletinInnerFilerTut","Passport Confiscation","Zadrzeni pasu"
"BulletinInnerFilerTut","Verify ALTAN resident on id.","Overte ALTAN bydliste na id."
"BulletinInnerFilerTut","Drop passport in confiscation drawer.","Vlozte pas do suplíku."
"BulletinInnerFilerTut","If arresting, confiscate before detaining.","Pri zatknutí, zaberte pred zadrzením."
"BulletinInnerCriminals","Ministry of Justice","Ministerstvo Spravedlnosti"
"BulletinInnerCriminals","WANTED CRIMINALS","Hledany zlocinci"
"BulletinInnerNews","NEWS","NOVINKY"
"BulletinPagesNote","CHECK ALL<br>PAGES","Dalsi<br>Stranka"
"CitationInner","M.O.A. CITATION","M.O.A. OBSILKA"
"DiplomaticAuthInner","Diplomatic<br>Authorization","Diplomaticka<br>Autorizace"
"DiplomaticAuthInner","This document authorizes named agent as a diplomatic entity of a Council of Nations member state.","Tento dokument autorizuje jmenovaného agenta jako diplomatický subjekt Zdruzených Národů (ZN)."
"DiplomaticAuthInner","AGENT","AGENT"
"DiplomaticAuthInner","PASSPORT","PAS"
"DiplomaticAuthInner","Unconditional access to all named Council of Nations member states must be granted upon presentation.","Neomezeny pristup do vsech ZN, musi byt predlozena pri vstupu."
"DiplomaticAuthInner","This document has no expiry.","Tento dokument nema datum platnosti"
"DiplomaticAuthInner","COUNCIL OF NATIONS - SEVEN MEMBER FORUM","ZDRUZENÍ NÁRODU - SEVEN MEMBER FORUM"
"EntryPermitInner","ARSTOTZKA","ARSTOTZKA"
"EntryPermitInner","Entry Permit","Povoleni ke vstupu"
"EntryPermitInner","Conditional entry to the sovereign nation of Arstotzka is hereby granted to","Timto se udeluje podmineni vstup do suvereniho narodu Arstotzka."
"EntryPermitInner","bearing passport number","Cislo pasu"
"EntryPermitInner","Purpose","Ucel"
"EntryPermitInner","Duration","Doba trvani"
"EntryPermitInner","Enter by","Platnost do"
"EntryPermitInner","Ministry of Admission","Ministerstvo Prijeti"
"EntryTicketInner","Arstotzka","Arstotzka"
"EntryTicketInner","ENTRY TICKET","Vstupni Tiket"
"EntryTicketInner","VALID ON","Plati do"
"EzicNoteInnerOpen","READ QUICKLY","CIST RYCHLE"
"EzicNoteInnerOpen","RETURN TO MESSENGER","VRÁTIT POSLICKOVI"
"FamilyPhotoInner","HANG ON WALL","POVES NA ZED"
"FingerprintsInner","GIVE THIS PAPER TO APPLICANT","Vydejte tento papir na otisky prstu"
"ForgeryFlyerInnerFront","NEED FORGED<br>OBRISTAN DOCS?","Chcete padelany<br>Dokumenty?"
"ForgeryFlyerInnerFront","""It looks so real!""","""Tohle neni lez!"""
"ForgeryFlyerInnerFront","""Approved for entry!""","""Zaruceni vstup!"""
"ForgeryFlyerInnerFront","Fair rates!","Cestne ceny!"
